lemma,lemma_found,distance
млади,импровизира,0
борци,банда,0
мила,социјалистички,0
собрал,рано,0
ке,северна ирска,0
млади,импровизира,0
борци,банда,0
мила,социјалистички,0
собрал,рано,0
стани,хроника,0
иди,отпор,0
љубен,возљубен,0
заспи,зазира,0
сите,традиција,0
секому,сан хосе,0
можевме,допрва,0
секакви,старовина,0
цвеќа,забавиште,0
цвеќа,забавиште,0
порт,хроника,0
сончевите,јачина,0
оставете,докај,0
порт,хроника,0
сончевите,јачина,0
оставете,докај,0
ветрот,скротувач,0
знамиња,екранизација,0
невиност,извинение,0
тргнат,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
една,последователен,0
беше,расцеп,0
ке,северна ирска,0
крилја,сиромаштија,0
мило,птичји,0
наши,еуфрат,0
ке,северна ирска,0
крилја,сиромаштија,0
мило,птичји,0
наши,еуфрат,0
ке,северна ирска,0
крилја,сиромаштија,0
мило,птичји,0
наши,еуфрат,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
co,традиција,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
сѐ,скоро,0
сонот,билјард,0
кои,синтеза,0
па,расцеп,0
жено,полски,0
огин,еруптира,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
сите,традиција,0
земни,полски,0
седумте,шест-седумдесет,0
небесата,лебедов,0
видов,довде,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
мојот,одличие,0
семињата,источка се,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
сѐ,скоро,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
љубовта,капетанија,0
беше,расцеп,0
сите,традиција,0
ce,фотографски,0
