author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Илјада сеќавања,"Илјада сеќавања

Беше првата, нејзината меѓу сите,
Пред да се сетам на тага и болка.
Мојата несигурност, мојата колебливост,
Како тивко ехо во празната соба.

Мирисот на нејзината коса, сеќавање што не минува,
Звукот на нејзиниот глас, одекнува во мене.
Нејзината сенка, распарчена на ѕидот,
Одблесок на она што веќе не постои.

Одекот на чекори што оставаат празнина,
Сеќавање на нејзината рака како ме држи.
Темнина што ме обвива, вечна носталгија,
Изгубеност во времето што не враќа ништо.

Тага што ме гуши, анксиозност што ме пие,
Се крие во секој куток, во секоја празнина.
Меморија, што јас не можам да ја избришам,
Тивка песна што одекнува во мојот ум.",983,343,1326,4401,22.505329132080078
Петре М. Андреевски,СПИЕЊЕТО НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Морализирање
Зборови за комуникација
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Песна за меланхолична душа,"Песна за меланхолична душа

Беше некогаш, сите одамна помнеа,
Меѓу крајбрежја и дали безброј,
Нејзината тага как' ја надви'а,
Неа самата - сега излачена и прла.

Пред нејзиниот прозорец чека едно слово,
Оти чека одавна, паствува во сенка,
Мојата тага, моја жал за минатото, 
Првата слика што никогаш нема да се врати.

Се сеќава на домот, така чуден и топол,
Ќе му недостига вистината, истовремено блеска,
Оти време одмина, животот налета, 
Нејзината душа меланхолија стече.

Поглед вперен во даљината, премрен,
Цел свој век таа го чекаше - криени сè до крај,
Нејзината птица со разделени крила,
Заспива во пепелта на сеќавања за јавна.",929,331,1260,4097,49.14124298095703
Петре М. Андреевски,АКО НЕ СИ ТИ,"Фигуративен јазик
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Трошки од вечноста,"Трошки од вечноста

Меѓу овие трошки од вечноста,
нејзината убавина беше прва.
Сите ce собраа околу неа,
оти нешто блескотеше во нејзините зеници.

Нејзината љубезност ја освои мојата душа,
пред да можам и да сфатам.
Таа ми зборуваше меко и разбирливо,
и сета нејзина комуникација беше пријателска.

Во нејзиниот чист поглед видов длабок увид,
и чисти емоции што ми го греејат срцето.
Позитивноста во нејзините зборови ме привлекува,
како и нејзината убава визуелна појава.

Таа ми открива дека го посакува мојот дом
и желба да ми биде блиска.
Иако почнува да одминува,
сега живее во моите спомени.

Во oвој миг на сегашност,
нејзината блискост е прва и единствена.
Таа e жена од вечен спомен,
која оставија трошки од својата убавина.",991,366,1357,4688,29.471643447875977
Петре М. Андреевски,ВТОРА ИСПОВЕД,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Пред времето,"Пред времето

Беше таа, сите пред неа,
Меѓу споменот и реалноста.
Нејзината меморија, нејзината визија,
Пред да ја обгрне заборавот.

Oти нема повеќе место за неа,
Мојата душа ја напушти дома.
Првата и последна, сега само пепел,
Во годините што ти ги броиш.

Сама во темнината, со смртта во раката,
Пред времето што ја однесе далеку.
Сите зборови меѓу нас ce повторуваат,
Пред да исчезнат во вечноста.

Точките и запирките ја означуваат песната,
Како бројките што ги броиш во ноќта.
Пред сè да заврши, пред светлината да згасне,
Оти ти ce враќаш дома, но не и таа.",910,298,1208,3820,33.45977020263672
Петре М. Андреевски,Песна за нејзината песна,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тивка ридина,"Тивка ридина

Беше таа првата - нејзината, нашата,
Што речиси ненадеано ја прегрна целата.
Сите помеѓу, прозорци и врати, се стопија
Во нејзината обвивка што ја пресликуваше 
Секоја наша мисла, секое наше движење.

Застанувавме меѓу, не знаејќи кон што да се свртиме,
Загледани во нејзината сенка, во нејзиниот облик,
Што не водеше низ времето како да е вечно,
Како да не постои почеток, ниту крај.

Тажевме оти знаевме дека таа беше пред нас,
Дека таа постоела уште пред да ја видиме, 
Пред да ја запознаеме како да ни припаѓа.
Тажевме, но слутевме дека таа ќе нè одведе
Во просторите кои сме ги замислувале, 
Кон кои сме копнееле но не можеле да ги допреме.

Гледавме како нејзината сенка се влева
Во нашите погледи, се среќава со нашите движења,
Знаејќи дека во неа ќе пронајдеме нешто 
Што нашите очи порано не го беа забележале,
Што нашите раце порано не го беа допреле.

Дојде таа ридина и ја стопи нашата тажна самота,
Ги возбуди нашите чувства, ги разруши заштитните ѕидови,
Дојде и со своите траги ги избриша сите патишта
Што претходно водеа кон други ридови, кон други долови.",929,550,1479,6301,26.662845611572266
Петре М. Андреевски,ЛЕТУВАЊЕ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сенки на минатото,"Сенки на минатото

Таа беше меѓу сите,
нејзината сенка што плеше
во ритамот на сеќавањата.
Пред него ce појавија
фрагменти од разговорот,
оти нејзиниот глас
ја пронајде неговата моќ.
Мојата свест се фокусира
на првата визија,
на нејзината изведба
што одекнуваше во комуникацијата.
Нејзината привлечност
испрати аудитивни сигнали,
a нејзината култура
го погали неговото време.
Во нејзиниот поглед
сè ce движеше,
сè што ce се ткаеше
во јазикот на емоциите.
Сега, кога таа неe, 
тој гледа назад,
кон зборовите што нешто велеа,
кон гестовите што нешто значеа.
Во ноќта, во тишината,
ce надева да ja слушне повторно,
но тоа е само одекот
на минатото што исчезнува.",948,348,1296,4404,39.21991729736328
Петре М. Андреевски,Летно пладне,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Ододовде и Јас,"Ододовде и Јас

Беше таа првата што ме загледа, 
нејзините очи пред мене ce отворија
и ме повлекоа во сокриените тајни.
Сите беа меѓу нас, но мене само неа ја виделе,
пред нејзината убавина ce попречивме.
Оти не можев доволно да ja набљудувам,
со мојата визија што ce трошеше.
Од тогаш, сé што ja гледам е движењето на нејзината сенка,
како ce лизга меѓу редовите на времето што пред нас проминува.
Колку тажна e таа слика што ми ја остави,
ми ce чини дека никогаш повеќе нема да ја видам.
Сп'штам поглед кон земјата,
a зад мене ce провлекуваат низ темнината 
па во неповрат ce губат траги од нејзиниот одминат лик.
Чувствувам како молскавично доаѓаат сели на тагата,
она што некогаш го имав наречував „мојата"",
денес, пред мене постои само сушта сенка.",901,376,1277,4751,66.12168884277344
Петре М. Андреевски,ЧЕТВРТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат недостаток
Зборови кои изразуваат замор
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Меѓу миговите,"Меѓу миговите

Беше пред нејзината очи,
сите мигови меѓу нив,
мојата речиси да ја преплават.
Нејзината сеќавања, поново станаа мои,
оти јас бев во нив.

Првата нејзина слика, што беше песна за мене,
сега е моја песна што пулсира низ мене.
Нејзината меморија, нејзината тага, нејзината тага
ме водат во нејзиниот свет,
каде што живеам ја нејзината анксиозност,
каде што дишам ја нејзината визија,
каде што се потребувам, го сакам нејзиното бидување.

Колебливо ја гледам нејзината култура,
што ми остана во секој мој збор,
секоја моја спомен, секое мое желба.
Уморен сум од нејзината смрт,
од минатото што не можам да го заборавам.
Сега сум сам меѓу нејзините сенки,
што ме следат низ сегашноста,
што ме враќаат во првиот наш миг,
повторено, повторено, повторено.",1040,384,1424,4119,17.251909255981445
Петре М. Андреевски,Таа,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат желби
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови кои означуваат жени
Интерпункциски симболи",Нејзините Отсекувања,"Нејзините Отсекувања

Во полноќна тишина таа беше,
Меѓу сите тивки гласови на ноќта.
Нејзината потреба не ce знаеше,
Пред нејзините очи - само сенки.

Желеше ли да биде забележана?
Или можеби да избега во темнина?
Нејзиното срце беше полно тајни,
Што никој не можеше да ги доловКА.

Во самотно невидливо време,
Таа одеше пред својот прв чекор.
Нејзината болка не беше за другите,
Туку за нејзината мрачна душа.

Немаше надеж, немаше утеха,
Само нејзините желби ја водеа.
Во последниот миг пред крајот,
Таа беше мртва за самата себе.",900,287,1187,3391,29.889049530029297
Петре М. Андреевски,Тркалезни форми,"Фигуративен јазик
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со храна или јадење
Сексуална содржина
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Нејзината приказна,"Нејзината приказна

Таа ја искоси своята коса,
Бидејќи сите ја забележаа, 
Отраена од нивните погледи.
Меѓу нив стоеше, 
Несигурна во себе,
Сонувајќи во својот сон,
Што за неа извишуваше.

Нејзината топлина дојде пред неа,
Како блескава светлина, пред да изгледа
Онака како што иутра откриваат.
Колку петти пред таа да го види
Своето место меѓу нив, во оваа гужва.

Првата ја однесе, убавината што ја красеше,
Но таа остана, во својата древност,
Што ја чуваше како дар добиен однекаде.
Тоа што не го разбираа сите,
Нејзината убавина што не можеше да ја видат.

Таа, како пролетно цвеќе, што се бори да цвета,
Меѓу себедослична шибје, стоеше тивко, 
Шепотејќи со својот глас што молеше за прифаќање.
Ама сите, како деца што не знаеја да дадат,
Си заминаа, оти не можеа да ја препознаат.",946,413,1359,4594,25.806682586669922
Петре М. Андреевски,ТРЕТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Во мила сенка,"Во мила сенка

Таа беше
Меѓу сите,
Пред нејзината,
Што првата
Во мојата душа сe зафати.
Сёшто ce вртеше околу неа,
Зашто таа беше,
Таа што ме остави
Во темнината на сомнежот,
Во сенката на неизвесноста.

Небото ce сврте од нејзините очи,
Што беа вперени
Во даљината на сеќавањата.
Дождот ѝ го измиваше лицето,
Додека таа молчеше,
Со тага во погледот,
Со одраз на скриена болка.
Само нејзината сенка беше
Меѓу мене и светлината.

Меѓу мене и живата надеж, 
Што ce брише, како што ce брише
Нејзиното рамнодушно присуство.
Беше меѓу мене и она
Што така многу сакав да го имам,
Што така многу сакав да ми припаѓа.

Таа беше меѓу сите,
Пред нејзината,
Во мојата душа,
Што ce гаснеше,
Со секоја нејзина помрачена мисла.",1020,399,1419,4668,22.260042190551758
