author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,,Песна за Ќола и неговото сонце,"Песна за Ќола и неговото сонце

no_song_found",342,385,727,2488,221.9716644287109,2.9287119477305984e-10
Петре М. Андреевски,СПИЕЊЕТО НА ДЕНИЦИЈА,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде сончевиот зрак
се плете со ветровите лебнати,
тука животот тихо го шепа
и тихо ги пее песните.

Тука каде што тихо текне реката
и брегот е исполнет со тишина,
тука лебнат мечите на споменот
и тихо ги чекаат новите дни.

Врз ридите каде што ѕвездите се рашират,
и ноќта ги опива со своја тишина,
тука душа го чека својот сон
и сонот го чека својот ден.

Во долината на мечите, тихо и вечно,
каде што времето се губи во спомени,
тука животот тихо го шепа
и тихо ги пее песните.

Тука каде што сончевиот зрак
се плете со ветровите лебнати,
тука животот тихо го шепа
и тихо ги пее песните.",342,350,692,2400,13.540956497192385,0.0014793689140856988
Петре М. Андреевски,АКО НЕ СИ ТИ,,Песна за Ќола и неговото сонце,"Песна за Ќола и неговото сонце

no_song_found",342,390,732,2605,221.9716644287109,2.762288800549613e-15
Петре М. Андреевски,ВТОРА ИСПОВЕД,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што сонце зорува,
мечите сонуваат, тихо, во тишината.
Врз нивното чело, вековите се испишани,
и сите нијиги се спомени од минатото.

Тука, каде што ветровите шепат,
и тихо говорат стариот камен,
древниот дух се шета,
и нијиги ги шепа со неговиот ветар.

Во овие граници, каде што лисјата паѓаат,
и тишината зборува повеќе од зборовите,
мечите чекаат, под сенката на дрвото,
да им се врати нивната слава.

Секој чекор е спомен,
секоја сенка е приказ на минатото,
а долина на мечите е книгата на вековите,
каде што се пишуваат легендите.

Тука, каде што сонце зорува,
и ветрот шепа по стариот камен,
мечите чекаат, тихо и вечно,
да се врати нивната слава.",342,370,712,2771,26.156686782836918,0.004844991680455449
Петре М. Андреевски,Песна за нејзината песна,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што сонце зорува,
мечите сонуваат, тихо, во тишината.
Зелени листови, ветрови што шепат,
песната на земјата, тихо, се шепа.

Тука, каде чешмата текне чисто,
и ветерот шепа низ лисјата зелено,
срцето на македонскиот народ,
песната на долина, вечно, се раде.

Мечите сонуваат, но срцето не спие,
во долина на надеж, во долина на светлина.
Тука, каде што сонце зорува,
и ветровите шепат низ долнината.

Песната на долина, вечно, се раде,
срцето на македонскиот народ,
тука, во долина каде што мечите сонуваат,
и светлината на надежта не исчезнува.

Во долина каде што сонце зорува,
мечите сонуваат, тихо, во тишината.
Тука, каде чешмата текне чисто,
песната на долина, вечно, се шепа.",342,380,722,2357,11.248324394226074,0.002529103134384618
Петре М. Андреевски,ЛЕТУВАЊЕ,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.

Тука каде што тихо текува реката,
а лисјата сонуваат на ветрови,
тука се родени мечите на спомените,
и срцата се ослободуваат од болка.

Во овие рамнини каде што сончевиот свет
се осмелува да ги осветли темнините,
тука се родени сонови на несакана љубов,
и ветровите носат ветини на надеж.

Тука каде што ѕвездите се родени
и тихо ги шепат темнините на ноќта,
тука се родени души на несакана љубов,
и ветровите носат ветини на надеж.

Во долината на мечите, каде што тихо живее
срцето на земјата, искрено и верно,
тука се родени спомени на несакана љубов,
и ветровите носат ветини на надеж.",342,385,727,2743,18.74491500854492,0.004026322547159671
Петре М. Андреевски,Летно пладне,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што земјата е полна со спомени,
а секој камен е писмо од минатото,
тука се родени мечите на јунаците,
кои со своите души го браниле светот.

Во овие рамнини, каде што ветерот шепоти
и тихо ги слуша вртоглавите приказни,
тука се родени сончевиот сјај и сенките,
и секој ден носи нова песна.

Овие долини се дом на сончевиот свет,
каде што ѕвездите сонуваат во ноќта,
тука се родени сончевиот сјај и сенките,
и секој ден носи нова песна.

Во овие долини, каде што тишината зборува,
и срцето се усреќува со мирот,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.",342,442,784,3199,13.24487590789795,0.0023888992699399527
Петре М. Андреевски,ЧЕТВРТО ПИСМО,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце злато свие,
мечите тихо сонуваат во тишината.
Зелени листови, ветер лебдејќи,
песната на земјата, тихо шепотејќи.

Врз ридите високо, каде што ѕвездите се раѓаат,
стариот дух стои, чувар на спомени.
Тука, каде што времето се губи во вековите,
и срцето на природата тихо пукнува.

Мечите, тихо лежат, нивните дршка испреплетена,
со рајските цветови, во сончевата светлина.
Тие зборуваат јазик на минатата,
приказни на смртта и на животот.

Во долина на сонце и ветер,
мечите сонуваат, нивната тишина е моќна.
Тука, каде што легенда и реалност се среќаваат,
песната на Долината на Мечите се шепотејќе засекогаш.",342,353,695,2497,28.81395721435547,0.00121042199317776
Петре М. Андреевски,Таа,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што сонце зорува,
мечите сонуваат, тихо, во тишината.
Зелени листови, ветрови што шепат,
песни на ветерот, тихо ги носи.

Тука, каде што земјата говори,
а ѕвездите сонуваат во ноќта.
Мечите чекаат, под сенката на дрвото,
да им се врати денот на нивната слава.

Во долина каде што тишината е благослов,
и срцето слуша, што земјата раскажува.
Мечите сонуваат, тихо, во сончевата светлина,
да се вратаат во денот на нивната борба.

Тука, во долина на спомени и мечови,
срцето се смее, на ветровите што шепат.
Мечите чекаат, под сенката на дрвото,
да им се врати денот на нивната слава.",342,333,675,2362,17.602703094482422,0.002768108302429586
Петре М. Андреевски,Тркалезни форми,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на стариот говор.

Тука каде што тихо текува реката,
а лисјата сонуваат на ветрови,
тука се родени мечите на спомените,
и срцата ги носат тие во душестите ноќи.

Врз ридите каде што ѕвездите се родени,
и каде што тихо стои стариот бор,
тука се чудесата на животот,
и тихо ги пее песните на љубовта.

Ова е домот на сончевиот ветер,
каде што се раѓаат новите денови,
и каде што срцето го пронаоѓа својот мир
во долината на мечите на спомените.

Тука се родени легендите,
и тука ќе продолжат да живеат,
во срцето на секој што ги слуша
песните на вековите и тие вечно ќе траат.",342,377,719,2795,27.39608192443848,0.002020233819875957
Петре М. Андреевски,ТРЕТО ПИСМО,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на тишината,
тука животот тихо го шепа
песната на вековите, долгите и силни.

Тука каде што лисјата зборуваат
со ветерот, а водите пејат
песна на спокојство, мир и љубов,
тука се родени мечите на душа.

Секој камен е споменик на времето,
секоја ливада сон на ноќта,
а секој звук е дел од оваа вековна
песна што се раѓа и умива во светлината.

Тука, каде што сончевиот зрак
се плете со ветровите на тишината,
тука животот тихо го шепа
песната на вековите, долгите и силни.",342,301,643,2080,19.767093658447266,0.0020203536381791652
Петре М. Андреевски,Лицето на зборовите,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде што сонце зорува,
мечите сонуваат, тихо, во тишината.
Зелени листови, ветрови што шепат,
песната на земјата, тихо ја шепат.

Тука, каде што водите се чисто,
и ѕвездите сонуваат, блиску до земјата.
Мечите чекаат, во сенките на дрвјата,
да ги слушаат ветровите, да ги шепат.

Во долина каде што тишината зборува,
и срцата се полни со сонови.
Мечите чекаат, под ѕвездената купола,
да се родат нови песни, нови спомени.

Тука, каде што сонце и месечина се братја,
и тишината е гласа на вековите.
Мечите сонуваат, во долина на ветрови,
песната на долина, вечно ќе продолжува.",342,328,670,2277,18.744686126708984,0.006192751165569191
Петре М. Андреевски,ПРВИТЕ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Песна за Ќола и неговото сонце,"Песна за Ќола и неговото сонце

Ќола стои под дрвото, листот му лебне на раката,
Сонцето златно блика, го гледа без мината.
Врвот на планината, тишина го опфаќа,
Секој здив звук исчезнува, како да го чека.

Ќола го гледа сонцето, како да го познава,
Секој ден го гледа, но секој ден е ново става.
Ветерот тихо шепа, го шепа листот на земја,
Ќола го чува тајниот говор на дрвото и земја.

Сонцето го грее, но не го согрева душата,
Ќола сонува, сонува за далечината и ната,
Сонцето му го укажува патот, но не му го дава,
Ќола го бара својот сон, го бара без крај.

Врвот на планината, тишината го опфаќа,
Секој здив звук исчезнува, како да го чека.
Ќола стои под дрвото, листот му лебне на раката,
Сонцето златно блика, го гледа без мината.",342,422,764,2862,13.261516571044922,0.001109029969331375
Петре М. Андреевски,Тешко мене,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите тихо и бавно,
тука животот тихо го шепа
срцето на земјата, мирно и вечно.

Тука каде што реката тихо тече,
и лисјата сонуваат на ветрови,
тука се родени мечите на спомен,
и светлината на надежта никне.

Врз ридите каде што ѕвездите се раѓаат,
и ноќта го шепа сонот на денот,
тука се пејат песни за љубов,
и се чуват тајните на срцето.

Од далечина се чуват ветровите,
и ветерот шепа тихо меѓу лисјата,
тука се родени митовите,
и срцето го шепа своето прашање.

Во долината на мечите, каде што светлината
се плете со мислата, мирно и вечно,
тука се родени сонувањата,
и срцето го шепа своето сонце.",342,363,705,2570,17.91197395324707,0.0010018065442962596
Петре М. Андреевски,ПЕСНА ЗА МОЈАТА ПЕСНА,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце злато свие,
мечите тихо сонуваат во тишината.
Зелени листови, ветер лебдејќи,
песната на земјата, тихо шепотејќи.

Тука, каде што водата бледи,
и ѕвездите тихо го гледаат сонот.
Врволите високо, тихо се шепотнат,
и ветерот ги носи ниските тонови.

Мечите во долина, тихо се шепотнат,
приказни стари, во тишината.
Сеќавања давно, но сè уште свежи,
во долина на мечите, тихо се шепотнат.

Земјата тихо сонува, под небото сино,
и мечите тихо сонуваат во тишината.
Во долина каде сонце злато свие,
песната на земјата, тихо шепотејќи.",342,327,669,2371,14.057878494262695,0.0006507592788209593
Петре М. Андреевски,ПРВА ИСПОВЕД,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што земјата е пурпурна
и реките пејат песни на тишината,
мечите на предците сонуваат
во тишината на ноќта.

Врз ридите каде што ветерот ги шепа
листовите на стариот даб,
тие чекаат, мирни и вековни,
сведоци на минатата слава.

И во овие земјини граници
каде што сончевиот свет го осветлува
секој камен, секоја трага,
тука се родуваат новите ѕвезди.

Тука каде што душа го губи
патот меѓу сон и реалност,
тука се раѓаат песните
на вековите, на љубовта и на смртта.

Во долината на мечите, тихо,
животот продолжува, вечен и вечен,
каде што секој здив е полн со мистерии
и секоја сенка држи тајна.

Тука, во овие земјини граници,
ние ги чуваме легендите,
и ние продолжуваме да пееме
песната на вековите, за да се вратиме
во долината на мечите, засекогаш.",342,472,814,3278,28.592309951782227,0.003706486487741461
Петре М. Андреевски,ВТОРО ПИСМО,,Песна за Ќоле и неговото сонце,"Песна за Ќоле и неговото сонце

no_song_found",342,498,840,3447,280.43328857421875,1.53381827775096e-14
Петре М. Андреевски,Има денови,,Песна за Долината на Мечите,"Песна за Долината на Мечите

В долина тиха, каде што ветровите тихо шетаат,
мечите сонуваат, тихо лежат под сенка на дрво старо.
Златни прашини пливаат во сончевиот свет,
каде што тихо лебдат спомени на стари битки.

Во овие граници, каде што земјата е мирна,
душите на хероите летаат, тихо ги чуват тајните.
Тие сонуваат за слава, за битки што нема да заборават,
но тука, во оваа долина, сè е мир и спокојство.

Птиците пејат мелодии, тихо ги слушаат мечите,
и сè уште знаат дека тие некогаш биле жив.
Долина на мечите, тихо лежиш под небото син,
каде што спомените живеат во секој ветер што дува.

Тука, каде што мирот е крал, а спомените се вечен,
мечите сонуваат, а душите на хероите вечно летаат.
В долина тиха, каде што ветровите тихо шетаат,
тука лежиш, долина на мечите, вечен мир да чуват.",342,420,762,2794,22.726173400878903,0.0026447370781654067
Петре М. Андреевски,Ко да беше лани,,Песна за Ќола и неговото сонце,"Песна за Ќола и неговото сонце

no_song_found",342,346,688,2105,221.9716644287109,9.66037321707699e-13
Петре М. Андреевски,ВО СОБАТА НА ДЕНИЦИЈА,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што земјата е полна со спомени
и камените ѕидини чекаат на секој агол,
мечите на предците, исчезнати сега,
но нивниот дух живее во секоја ливада.

Во овие рамнини, каде што ветерот пее
песни на минатото, тихо се слуша
музиката на времето, несломливо и вечно,
и срцето на секој што тука дојде.

Во овие далечни краишта, каде што ѕвездите
се блиски како соседи, тука се родени
надежта и сонот, тихо се раѓа
и секој ден носи нови ветрови на надеж.

Тука, во долината на мечите,
животот е песна, полна со сенки и снови,
и секој чекор е чекор кон непознато,
но со срце полно со верување и љубов.",342,396,738,2870,33.166099548339844,0.0016340338778034473
Петре М. Андреевски,Тоа таму,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долина каде сонце злато зрачи,
мечите сонуваат во тишината на вековите.
Тука земјата е полна со спомени,
каде што ветровите раскажуваат стари приказни.

Патеки криви, испреплетени со тишина,
каде што лисјата шепот на ветрот го носат.
Секој камен е споменик на заборавените битки,
а секој звук е дел од епската легенда.

Во овие граници, духовите јунаците ги чествуваат,
нивните души се испливаат во ветровите на вековите.
Тука, во Долината на Мечите, срцето се открива,
и сите тајни се откриваат во светлината на споменот.

Секој чекор е спомен, секоја сенка е легенда,
и во оваа земја на спомени, секој ден е нов почеток.
Песната на долина, вечен ритмичен звук,
каде што минатото секогаш останува во сеќавање.

Во Долината на Мечите, животот е песна,
и секој звук е дел од епската легенда.
Тука, каде што сонце и ветер се единат,
секој ден е нов почеток, но старото секогаш останува.",342,462,804,3210,25.723276138305664,0.0020266932225666058
Петре М. Андреевски,ОТКАКО ТЕ НЕМА,,Песна на Македонија,"Песна на Македонија

Од планини високо над облаците,
од реки што пејат низ долините,
од земја родена во тишината,
тука е наша Македонија.

Се родивме во овие граници,
со срца полнети со гордост,
со ветар на лице, со сон на око,
и душа која сонува за слобода.

Од старината до денешниот ден,
нашиот народ стои цврсто,
на земјата на прастоците,
на земјата на тие што веруваат.

Се гордееме со нашиот јазик,
со ритуалите, со верата,
со оние што ги чуваруваме,
со оние што ни го дадоа сè.

Македонија, земја на сончевиот зрак,
на мир и љубов, на правда и прави,
ти си наша светлина во ноќта,
ти си нашата вечен дом.

Песна на Македонија, земја на надеж,
на единство и братство,
ти си наша љубов, наша слава,
наша вечен сон, наша вечен дом.",342,378,720,3071,18.38129997253418,0.004013397540802727
Петре М. Андреевски,Првата разделба,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што земјата е полна
со траги на стари битки,
и камените споменици
пејат песни на заборавените херои.

Во овие рамнини тихо стои
стариот дуб, сведок на вековите,
неговиот корен се протега
како раце на тихо стоечкиот борец.

Од далечина се чуват
звуците на далечниот ѕвон,
и звукот на метлите кои летаат
како ветрови на ветровите на слобода.

Тука каде што водите се чисто
и небото е син како тишината,
душите на оние кои паднаа
се шетаат меѓу лисјата на тишината.

И во секоја вечер кога ѕвездите се јавуваат,
и светлите ѕвезди се огледаат
во очите на оние кои сонуваат,
тука долината на мечите продолжува
да раскажува своја вековна приказна.",342,416,758,3090,34.85870742797852,0.0027754473187029493
Петре М. Андреевски,Проштенски поклади,,Песна за Долината на Мечите,"Песна за Долината на Мечите

Во долината каде што сончевиот зрак
се плете со ветровите на вековите,
тука животот тихо го шепне
мистите на старите легенди.

Тука каде што земјата говори
со јазик на прашината и зеленилото,
тука каде што тихо стојат
старите липови, чувар на тајни.

Мечите на предците, исечени од ѕвездениот ветер,
лежат под сенката на тишината,
нивните драгости исполнуваат
со светлина душа на секој што помина.

Во овие граници, каде што сончевиот свет
се осветлува со блесок на минатото,
тука се родени сонови и ветувања,
и срцата се отвораат за љубовта.

Тука, во долина на мир и спокојство,
каде што секој чекор е исполнет со смисла,
ние ги чуваме мечите на нашиот дух,
и ги пееме песните на вечноста.",342,370,712,2763,36.83626937866211,0.003332537037995237
