author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сенките на сеќавањето,"Сенките на сеќавањето

Во безмилосната тишина, 
ехото на мојот глас одекнува -
зборови што паѓаат како морници,
раздирајќи ја душата мојa.

Како сенки, спомените болни се навраќаат,
обвиткувајќи ме во нивниот мраз -
изедени од тага, заробени во времето,
бескрајно пловат низ мајот ум.

Недостатокот, што како гладна ѕвер ме гризи,
ми ја одзема секоја надеж, секој сјај.
Колеблив и несигурен, 
тонам во мрачната бездна на очај.

Аудиторни слики, кои некогаш ми донесуваа 
радост, сега ме тераат да се прекршам.
Сеќавања на погледи полни со загриженост, 
сега минуваат низ мене како убол.

Во ова самотно море на меланхолија, 
едноставна потреба за утеха ми недостига.
Осуетен и заробен во стисокот на времето,
жалувам за животот, ја губам битката за живот.",460,390,850,5205,38.73433303833008,0.0051300979998541,0.0,0.0,0
Петре М. Андреевски,СПИЕЊЕТО НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Морализирање
Зборови за комуникација
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Меланхолична утеха,"Меланхолична утеха

Во сенката на минатото, таа стои -
Мелодија на тага, што во срцето се лее.
Нејзините зборови, како птици што лете,
Шепотат за домот што во сеќавањата живее.

Привлечноста на нејзиниот поглед, наместо да брзне,
Забавува, плетејќи мрежа од измама и сомнение.
Како ноќ што ја покрива вечноста, таа се крие,
Обвиена во чаршав од време, без надеж за спасение.

Во нејзиниот свет на комуникација, сам стојам -
Зборови што не ги разбира никој, оставени во тага.
Надвор од нејзиниот дом, изгубен, препуштен на самиот себе,
Чекам да ме спаси зрак на светлина, што ќе ми го врати животот.

Но, можеби, онаму, во длабочините на нејзината душа,
Таа исто така чека да биде пронајдена и спасена.
Можеби, во нејзиното привлечно лице, скриен е одговор,
Што ќе ја намали мојата болка, ќе ме заплени со нежна утеха.",406,418,824,5674,25.398090362548828,0.0032556311863378,0.0,0.0,0
Петре М. Андреевски,АКО НЕ СИ ТИ,"Фигуративен јазик
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Сончева Песна,"Сончева Песна

Сонцето ја милува нежната душа,
Грееј ми го срцето со сјај беспрекорен.
Ведра сум, полна со радост и нежност,
Што ме прегрнуваш и ми ја даваш надежта.

Твоите зраци ги следам со очи разбудени,
Што блескаат како охрабрувачки светлини.
Топлино ми даваш, надежта ми ја одбудуваш,
И ми ја будиш желбата за твојата топлина.

Со твојата девојчка сум, мила и нежна,
Што ја чува во срцето љубовта твоја вечна.
Заедно ја изградуваме нашата сончева песна,
Што им зрачи на сите со светлина бескрајна.",420,282,702,4015,23.194089889526367,0.0009191542163782,0.0,0.0,0
Петре М. Андреевски,ВТОРА ИСПОВЕД,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Прошетка низ Сеќавањата,"Прошетка низ Сеќавањата

Одекот на твојот глас, одекот на меморијата,
Попрскан низ фрагменти од ветрувањето.
Стигна до мене, живот во нејасно движење,
Во сенки што трепкаат, светла што гаснат.

Гледам како минува времето, како одминува,
Во потрага по домот, кон мигови што беа.
Преку визуелна перспектива, душа што ликува,
Враќам се во минатото, сакајќи да умрам.

Жена моја, сестра моја, сенка што ме следи,
Зборови што се губат, во тишина што говори.
Во комуникација со себе, одекот што ме води,
Низ фигури на живеење, во вечни дворови.

Нула или еден, во кристал што се ломи,
Симболи што одекнуваат, во ритам на време.
Во бескрајната ноќ, во домот што ме гноми,
Повторно се враќам, во сеќавање што ме брани.",374,361,735,5731,30.0467586517334,0.0027898809455408,0.0,0.0,0
Петре М. Андреевски,Песна за нејзината песна,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Нефулгурировани егзистенции,"Нефулгурировани егзистенции

Во дрвено-стаклена атмосфера, 
нејзината сенка се стегаше канџесто,
тенка како ветер, ем и тешка.
Одби да се поистовети,
тешкотија врз барани крилја.
Пропаѓачките носи патища замагкуваа, 
но таа остануваше - неефлувирачка,
неразмагнетизираност сиви потчинувати.
Загуби ги сонците, таму и овде, 
се фрлаше кон таму каде што крилјата ја гризеа
во телесна плот од кошенила.
Стишнати струи низ тешки продори
пропуваа препукнатости во испарливост.

Некогаш и тоа ќе заврши,
откако ќе ја дождиме постмироилната утеха,
со сетилна нотка предуми и прошло време
кое ветува заштитен завршеток на патот.",402,335,737,4334,96.3043441772461,0.001747280046943,0.0,0.0,0
Петре М. Андреевски,ЛЕТУВАЊЕ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Мозаик од спомени,"Мозаик од спомени

Во витрината на времето,
Фрагменти од живот се редат.
Гласови што шепотат, 
Слики што танцуваат.

Нејзините очи, прозорци на душата,
Ја водат низ лавиринтот на минатото.
Комуникацијата е ткаење на нишки,
Што ја обвиваат нејзиниот свет.

Моќта е во нејзините зборови,
Што као ехо се одбиваат низ умовите.
Увид во нејзиниот живот,
Претставува патување низ култура.

Во сета таа бујност,
Остануваат само мигови на време.
Меморијата ги чува, 
Како пеперутки заробени во јѓар.

Сега таа стоеше,
Опкружена од слики и звуци,
Слушајќи го минатото,
Што со неа шепоти.",425,317,742,4847,32.70661926269531,0.0037299325023876,0.0,0.0,0
Петре М. Андреевски,Летно пладне,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Изгубен во сенките,"Изгубен во сенките

Тажни сенки плешат во темнината,
лижејќи ги последните зраци на светлината.
Лутината пламти во душата,
грчејќи се во мрачната долина.

Движам се нанапред, влечен од осамата,
жедна за трага што ќе ме врати дома.
Времето бега, а јас стојам заглавен,
пред вратата на животот што е затворен.

Сакам да побегнам, да се скријам, да заборавам,
но мртвите погледи ме држат заробен.
Тишината крева завеса над мојата судбина,
остава ме сам да гледам во вечноста.",369,241,610,3781,33.43130874633789,0.0025507907774218,0.0,0.0,0
Петре М. Андреевски,ЧЕТВРТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат недостаток
Зборови кои изразуваат замор
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Одгласи на немирот,"Одгласи на немирот

Несигурни треперења
На тешките мисли отворени пуштам;
Сеќавањата, стега нина на моето срце,
Бранувања на емоции што ме збунуваат.

Тагата, како тежок облак,
Го засенува моето видно поле;
Тишината ми шепоти зборови на немир,
Очекувања што не наоѓаат мир.

Зборовите тешко се откинуваат,
Одбивајќи да ја најдат својата сила;
Тага, страв, несигурност ме обземаат,
Чудејќи се на она што ми го носи иднината.

Бескрај души, ритми на жал,
Одекнуваат длабоко во мојот ум;
Фрагменти на помен, долги трагања,
Оставаат траги на немоќ и залудност.

Сепак, нешто чука внатре,
Одглас на надеж што не може да умре;
Можеби утрешнината ќе донесе одговори,
Искра што ќе ги расветли моите темнини.",497,373,870,5561,37.12256240844727,0.002577772605436,0.0,0.0,0
Петре М. Андреевски,Таа,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат желби
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови кои означуваат жени
Интерпункциски симболи",Мигновна визија,"Мигновна визија

Погледот трепери во зениците,
како сенки што се леаат низ времето.
Желбите пулсираат, жедни за промена,
облеани во сребрена месечина.

Таа стои во сенката, замислена,
чекајќи одговор од тивката ноќ.
Суштината допира душата,
повлекувајќи ја кон својата тишина.

Во миг, нејзиниот свет се расцветува,
облеан во бои на живот и смрт.
Таа вдишува длабоко, прифаќајќи го
овој краток, но вечен, миг на прозрение.",332,228,560,3522,45.516090393066406,0.0047042601197268,0.0,0.0,0
Петре М. Андреевски,Тркалезни форми,"Фигуративен јазик
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со храна или јадење
Сексуална содржина
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат жени
Интерпункциски симболи",Во очите твои,"Во очите твои

Во твоите очи се крие светлина,
Што нежно ме грее со топлина.
Во твојот поглед, јасен и чист,
Пронаоѓам мир и слатка утеха.

Твојот нежен глас ме милува и греи,
Исполнувајќи ја душата со радост и веи.
Со секое твое заокружување на зборовите,
Се пробудува во мене силна желба.

Твојата насмевка, како сончев зрак,
Ја осветлува темнината и грее ми секој дел.
Со твојата љубезност и грижа за мене,
Осознавам дека сум најсреќната жена.

Оваа волшебна врска што ја градиме,
Ме исполнува со надеж и ја негува мојата душа.
Во твоите раце пронаоѓам мир и спокој,
Допирот твој ме води кон нова љубов.",403,325,728,4050,27.231618881225582,0.0011708220286318,0.0,0.0,0
Петре М. Андреевски,ТРЕТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Измачувања,"Измачувања

Замаглени мисли, слики што се рушат,
Тивки ехоа што ме гонат, ми шепотат.
Колеблива желба, тага што не згаснува,
Неизрeчени зборови во болката се топат.

Ајде, повлечи се, скриј се во темниот ќош,
Каде што секој звук е празен, сам за себе,
Каде што времето замира, скоро како крв,
И сè ме бара, сè се пита - Каде си ти?

Бројам секои топки што бијат во срцето мое,
Во мислите - ограда што ме затвора, ме скрива.
Чувствувам, гледам, но не можам да ги фатам,
Овие слики што ми бегаат, се плашат да живеат.

Измореност тешка во немилосрдната тишина,
Зборови што чезнат да пробијат низ маглата,
Потреби што немаат глас, желби што се гасат -
Тажно прифаќање на празнината што ме опфаќа.",467,363,830,4768,30.083717346191406,0.0087931372682182,0.0,0.0,0
Петре М. Андреевски,Лицето на зборовите,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со дом
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Дом во мојот ум,"Дом во мојот ум

Во тивката самота на мојот ум,
Се раѓа светот на мисли и спомени.
Ослободена од оковите на времето,
Душата се движи низ лавиринтите на сеќавањето.

Со нежни зборови, како мелодија,
Ја сликам културата што ме обликува.
Љубезноста на домашните врски,
Ми дава осветлување, со внимание и увид.

Во овој ментален дом, што ми е најсвој,
Се чувствувам безбедна, чувајќи го минатото.
Мојата меморија е полна со врвци на согледување,
Кои ми служат како патокази низ времето.

Во оваа фигуративна обител,
Живеам во мир, во просоцијално битие.
Гледам хоризонти на можности,
Со активната глетка на оваа душа.",386,312,698,3965,30.690305709838867,0.0036660972328073,0.0,0.0,0
