author,song,style_feature_category,extracted_text,time_needed
Петре М. Андреевски,Наопачно оро,Бидување љубезен,Дали авторот на овој пасус ја содржи особината Бидување љубезен? Одговор: Да. Авторот користи изрази на почит и културни и учтиви форми во своето пишување.,2.7004733085632324
Петре М. Андреевски,Наопачно оро,Прикажување меѓучовечки конфликт,"Асистент дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.269803524017334
Петре М. Андреевски,Наопачно оро,Морализирање,"Ако е присутна, одговори со Да и дај го образложението за тоа. Ако не е присутна, одговори со Не и ништо друго.",1.9036743640899658
Петре М. Андреевски,Наопачно оро,Зборови за комуникација,"Ако е присутна карактеристиката, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.324357032775879
Петре М. Андреевски,Наопачно оро,Индикатори за моќ,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.316659450531006
Петре М. Андреевски,Наопачно оро,Говор за постигнување,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.704010248184204
Петре М. Андреевски,Наопачно оро,Индикација на сигурност,Нема доволно информации за да одговорам на ова прашање. Можеби ќе ми треба повеќе информации за да го разберам тоа што го прашувате.,2.2213728427886963
Петре М. Андреевски,Наопачно оро,Бидување несигурен/колеблив,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.340368270874023
Петре М. Андреевски,Наопачно оро,Увид,"Ако е присутна, одговори со ДА и проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",1.940840482711792
Петре М. Андреевски,Наопачно оро,Сè или ништо размислување,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.320844650268555
Петре М. Андреевски,Наопачно оро,Зборови поврзани со меморија,"Да, авторот користи зборови поврзани со меморија. Ова е пример за стилска особина наречена „зборови поврзани со меморија“. Ова се зборови кои се однесуваат на сеќавање или минати искуства.",3.105201244354248
Петре М. Андреевски,Наопачно оро,Позитивна емоција,"Позитивна емоција – зборови што пренесуваат радост, љубов, ентузијазам.",1.5384747982025146
Петре М. Андреевски,Наопачно оро,Негативна емоција,"Да, авторот на овој пасус ја содржи особината Негативна емоција. Тој зборува иронично, изразувајќи спротивно од тоа што мисли. Ова може да се забележи од неговата употреба на зборови како „прекрасно“ и „сакав“, кои се користат со сарказам. Исто така, авторот изразува негативна емоција преку неговото незадоволство од тоа што му се расипал телефонот.",5.463495492935181
Петре М. Андреевски,Наопачно оро,Анксиозност,"Анксиозност – зборови што изразуваат загриженост, страв или напнатост.",1.4301984310150146
Петре М. Андреевски,Наопачно оро,Лутинa,"Особина: Лутинa – зборови што пренесуваат гнев, фрустрација или агресија.",1.462773084640503
Петре М. Андреевски,Наопачно оро,Тага,"Почитуван корисник, дали авторот на следниот пасус ја содржи оваа особина? Тага.",1.5299201011657715
Петре М. Андреевски,Наопачно оро,Пцовки,Дали авторот користи сарказам?[/INST]Оцени го присуството од 0 до 1 на стилот.[/INST],1.5986824035644531
Петре М. Андреевски,Наопачно оро,Позитивен тон,Позитивен тон – јазик кој создава пријатна и охрабрувачка атмосфера.,1.4287519454956055
Петре М. Андреевски,Наопачно оро,Негативен тон,"Почитуван корисник, дали авторот на следниот пасус ја содржи оваа особина? Негативен тон.",1.6658644676208496
Петре М. Андреевски,Наопачно оро,Неутрален тон,Во продолжение следуваат неколку примери на стилови на пишување и нивните одлики. Одговори со Да или Не за секој пример:,1.9026052951812744
Петре М. Андреевски,Наопачно оро,Зборови поврзани со аудитивна перцепција,Особина: Сарказам,0.6272792816162109
Петре М. Андреевски,Наопачно оро,Зборови поврзани со визуелна перцепција,Зборови поврзани со визуелна перцепција – зборови кои опишуваат гледање и слики.,1.657808780670166
Петре М. Андреевски,Наопачно оро,Зборови поврзани со просторна перцепција,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.374448299407959
Петре М. Андреевски,Наопачно оро,Зборови поврзани со перцепција на движење,Не е присутен стилот „Зборови поврзани со перцепција на движење“.[/INST],1.4155466556549072
Петре М. Андреевски,Наопачно оро,Зборови поврзани со внимание,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3541736602783203
Петре М. Андреевски,Наопачно оро,Зборови поврзани со привлечност,"Зборови поврзани со привлечност – зборови кои изразуваат убавина, шарм или привлечност.",1.7207324504852295
Петре М. Андреевски,Наопачно оро,Зборови поврзани со љубопитност,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.709882497787476
Петре М. Андреевски,Наопачно оро,Зборови поврзани со ризик,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.353236675262451
Петре М. Андреевски,Наопачно оро,Зборови поврзани со награда,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.686911344528198
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат потреби,Погледни го пасусот подолу и одговори со Да или Не во зависност од тоа дали авторот на пасусот ја содржи оваа особина.,2.069493293762207
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат желби,Зборови кои изразуваат желби – зборови кои укажуваат на лични стремежи или копнежи.,1.6736767292022705
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат стекнување,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",3.109912633895874
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат недостаток,"Одговори со Да или Не. Ако е присутна, одговори со Да и проследено со образложение. Ако не е присутна, одговори само со Не и ништо друго.",2.1827311515808105
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат исполнување,"Одговори со Да или Не. Ако нешто е присутно, одговори со Да и дај објаснување. Ако нешто е отсутно, одговори само со Не.",2.0676562786102295
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат замор,"Одговори со Да или Не. Ако одговорите со НЕ, продолжете со образложение зошто не е присутна особината. Ако одговорите со ДА, продолжете со образложение зошто е присутна особината.",2.7675557136535645
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат болест,Дали авторот на следниот пасус ја содржи оваа особина? Зборови кои изразуваат болест.,1.6385483741760254
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат здравје,Зборови кои изразуваат здравје – зборови што означуваат благосостојба и виталност.,1.6001615524291992
Петре М. Андреевски,Наопачно оро,Зборови поврзани со ментално здравје,"Почитуван корисник, ја разбирам вашата загриженост и се обидувам да ви помогнам. Одговорот на вашето прашање е негативен.",2.203611135482788
Петре М. Андреевски,Наопачно оро,Зборови поврзани со храна или јадење,"Асистентски одговор за стилот на авторот во пасусот. Одговорот треба да биде краток и јасен, давајќи детални информации за тоа како е присутен стилот во пасусот.",2.6452958583831787
Петре М. Андреевски,Наопачно оро,Зборови поврзани со смрт,"Особина: Зборови поврзани со смрт – зборови што опишуваат умирање, крај или загуба.",1.6695945262908936
Петре М. Андреевски,Наопачно оро,Зборови поврзани со самоповредување,Дали авторот на следниот пасус ја содржи оваа особина? Зборови поврзани со самоповредување. Одговори со Да или Не.,1.9936473369598389
Петре М. Андреевски,Наопачно оро,Сексуална содржина,Сексуална содржина – зборови што се однесуваат на секс или еротика.,1.4261808395385742
Петре М. Андреевски,Наопачно оро,Зборови поврзани со слободно време,Авторот на овој пасус ја содржи особината Сарказам. Авторот користи иронија за да изрази спротивно од тоа што мисли. Ова е пример за иронично изразување на чувствата на авторот.,2.990640163421631
Петре М. Андреевски,Наопачно оро,Зборови поврзани со дом,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.6852686405181885
Петре М. Андреевски,Наопачно оро,Зборови поврзани со работа,Зборови поврзани со работа – зборови што се однесуваат на професија и задачи.,1.3919920921325684
Петре М. Андреевски,Наопачно оро,Зборови поврзани со пари,Зборови поврзани со пари – зборови што опишуваат финансии и економија.,1.391554832458496
Петре М. Андреевски,Наопачно оро,Зборови поврзани со религија,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.351639986038208
Петре М. Андреевски,Наопачно оро,Зборови поврзани со политика,Особина: Сарказам,0.6069371700286865
Петре М. Андреевски,Наопачно оро,Зборови поврзани со култура,Дали авторот на следниот пасус ја содржи оваа особина? Зборови поврзани со култура. Одговори со Да или Не.,1.8745763301849365
Петре М. Андреевски,Наопачно оро,Странски зборови,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.307072162628174
Петре М. Андреевски,Наопачно оро,Научни зборови,"Секогаш почни со ДА или НЕ, а потоа соодветно образложувај.",1.3570334911346436
Петре М. Андреевски,Наопачно оро,Сленг зборови,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.675793170928955
Петре М. Андреевски,Наопачно оро,Сленг од социјални мрежи,"Ако присуството е поголемо од 0,5, дај и кратка дефиниција за сленг од социјални мрежи. Ако не е, само одговори со НЕ.",2.112708568572998
Петре М. Андреевски,Наопачно оро,Зборови-полнители (filler words),"Одговор на прашањето: Да, авторот користи зборови-полнители (filler words) во неговата поезија. Ова може да се забележи во следниот пасус:",2.205456495285034
Петре М. Андреевски,Наопачно оро,Зборови фокусирани на минатото,"Да, авторот користи зборови фокусирани на минатото. Ова е пример за употреба на минато време во песната: „Јас ја напишав песната за еден час.“ Зборовите фокусирани на минатото се користат за да се изрази претходно случување или настан.",3.6904211044311523
Петре М. Андреевски,Наопачно оро,Зборови фокусирани на сегашноста,Зборови фокусирани на сегашноста – изрази што се однесуваат на моменталното време.,1.4630486965179443
Петре М. Андреевски,Наопачно оро,Зборови фокусирани на иднината,Зборови фокусирани на иднината – зборови што се однесуваат на претстојни настани.,1.5623204708099365
Петре М. Андреевски,Наопачно оро,Зборови поврзани со време,Зборови поврзани со време – зборови што опишуваат периоди и траење.,1.2893695831298828
Петре М. Андреевски,Наопачно оро,Погрешно напишани зборови,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.680274724960327
Петре М. Андреевски,Наопачно оро,Повторени зборови,"Почитуван корисник, дали авторот на следниот пасус ја содржи оваа особина? Повторени зборови.",1.772510051727295
Петре М. Андреевски,Наопачно оро,Зборови кои изразуваат количина,Авторот на овој пасус ја содржи особината Зборови кои изразуваат количина. Ова е пример за тоа како авторот го употребува овој стил: „Јас ја напишав песната за еден час.“,2.9401803016662598
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат семејство,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.308648347854614
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат пријатели,Зборови кои означуваат пријатели – зборови што се однесуваат на пријателски односи.,1.4978446960449219
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат мажи,Зборови кои означуваат мажи – зборови што се однесуваат на машки личности.,1.4235644340515137
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат жени,"Ако присутен, одговор со ДА и понатаму дадете детално објаснување. Ако не е присутен, одговорете само со НЕ.",1.8733184337615967
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат миленици,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3574018478393555
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат социјален статус,"Ако е присутна, одговори со ДА и проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",1.9428458213806152
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат сиромаштија,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.309855937957764
Петре М. Андреевски,Наопачно оро,Зборови кои означуваат богатство,Зборови кои означуваат богатство – зборови што укажуваат на изобилство или финансиска моќ.,1.705524206161499
Петре М. Андреевски,Наопачно оро,Интерпункциски симболи,"Асистент, кој може да одговори на прашањата поставувани од корисникот.",1.2906825542449951
Петре М. Андреевски,Наопачно оро,Составени зборови со цртичка,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.",1.516524076461792
Петре М. Андреевски,Наопачно оро,Оксфордска запирка,"Да, авторот користи Оксфордска запирка во овој пасус.",1.152425765991211
Петре М. Андреевски,Наопачно оро,Зборови во загради,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.698797702789307
Петре М. Андреевски,Наопачно оро,Броеви,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.353996992111206
Петре М. Андреевски,Наопачно оро,Издолжени зборови,"Да, авторот ги користи издолжените зборови како стилска особина. Ова е пример за издолжени зборови: „ооооооооо“",2.051818609237671
Кочо Рацин,Балада за непознатиот,Фигуративен јазик,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.381514072418213
Кочо Рацин,Балада за непознатиот,Сарказам,"Дали авторот на следниот пасус ја содржи оваа особина? Одговори со Да или Не. Ако е присутна, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.8573195934295654
Кочо Рацин,Балада за непознатиот,Фрагмент од реченица,"Асистент, давај го одговорот во форма на прашање. Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",3.8292176723480225
Кочо Рацин,Балада за непознатиот,Долга реченица (run-on),Долга реченица (run-on) – реченица составена од повеќе мисли без правилна интерпункција или сврзници.,1.7608232498168945
Кочо Рацин,Балада за непознатиот,Активен глас,Активен глас – конструкција во која подметот ја врши дејството (на пр. „Јас го пишувам писмото“).,1.8238017559051514
Кочо Рацин,Балада за непознатиот,Пасивен глас,"Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.3772013187408447
Кочо Рацин,Балада за непознатиот,Грешки во согласување,"Асистентски одговор за пример 1: Да, авторот изразува спротивно од тоа што мисли. Ова е иронија.",1.7928681373596191
Кочо Рацин,Балада за непознатиот,Машки заменки,Асистент: Зошто мислиш дека овој пасус ја содржи оваа особина?,1.35817289352417
Кочо Рацин,Балада за непознатиот,Женски заменки,"Дали авторот користи женски заменки?[INST]Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",3.6846413612365723
Кочо Рацин,Балада за непознатиот,Просоцијално однесување,"Просоцијално однесување – јазик кој покажува соработка, помош или емпатија.",1.559838056564331
Кочо Рацин,Балада за непознатиот,Антисоцијално однесување,"Антисоцијално однесување – јазик кој покажува агресија, непочитување или отфрлање на норми.",1.869297981262207
Кочо Рацин,Балада за непознатиот,Бидување љубезен,"Ако е присутна, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.1701245307922363
Кочо Рацин,Балада за непознатиот,Прикажување меѓучовечки конфликт,"Ако е присутна, одговара со ДА и ја дава дефиницијата. Ако не е присутна, одговара само со НЕ.",1.8369243144989014
Кочо Рацин,Балада за непознатиот,Морализирање,"Ако е присутна, одговори со ДА и проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",1.9439752101898193
Кочо Рацин,Балада за непознатиот,Зборови за комуникација,"Зборови за комуникација – зборови поврзани со говор, пишување или размена на пораки.",1.5207724571228027
Кочо Рацин,Балада за непознатиот,Индикатори за моќ,"Одговори со Да или Не. Ако е присутна, одговори со Да и проследено со образложение. Ако не е присутна, одговори само со Не и ништо друго.",2.186413049697876
Кочо Рацин,Балада за непознатиот,Говор за постигнување,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.696137428283691
Кочо Рацин,Балада за непознатиот,Индикација на сигурност,"Ако е присутна, одговори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.1682281494140625
Кочо Рацин,Балада за непознатиот,Бидување несигурен/колеблив,"Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",4.338600397109985
Кочо Рацин,Балада за непознатиот,Увид,"Во овој разговор, асистентот треба да го провери присуството на одликите на стилот и да ги оцени.",1.734731674194336
Кочо Рацин,Балада за непознатиот,Сè или ништо размислување,"Ако е присутна, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.",2.1877951622009277
Кочо Рацин,Балада за непознатиот,Зборови поврзани со меморија,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.719484567642212
Кочо Рацин,Балада за непознатиот,Позитивна емоција,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.711426734924316
Кочо Рацин,Балада за непознатиот,Негативна емоција,"Негативна емоција – зборови што пренесуваат тага, болка или огорченост.",1.3946478366851807
Кочо Рацин,Балада за непознатиот,Анксиозност,"Анксиозност – зборови што изразуваат загриженост, страв или напнатост.",1.4314124584197998
Кочо Рацин,Балада за непознатиот,Лутинa,"Ако присуството на особината е 1, одговори со Да и дај образложение. Ако присуството е помалку од 1, одговори со Не.",1.9065582752227783
Кочо Рацин,Балада за непознатиот,Тага,Дали е присутна особината Тага во овој пасус? Одговори со Да или Не.,1.253495216369629
Кочо Рацин,Балада за непознатиот,Пцовки,"Асистент, дали авторот на следниот пасус ја содржи оваа особина?",1.2868576049804688
Кочо Рацин,Балада за непознатиот,Позитивен тон,Особина: Позитивен тон,0.6765532493591309
Кочо Рацин,Балада за непознатиот,Негативен тон,Дали авторот на овој пасус ја содржи особината Негативен тон? Одговори со Да или Не.,1.5303606986999512
Кочо Рацин,Балада за непознатиот,Неутрален тон,"Во овој дел, корисникот ќе треба да одговори на прашањата поставени од асистентот. Асистентот ќе ги поставува прашањата во форма на изјава, како што е „Овој пасус не е пример за стилот“.",3.243933916091919
